1411 1                  282132284428333031473635253030
1412 2                  322534484830404034273442323734
1412 3                  343638464320374234333633443836
1412 4                  345038415140425334494549424643
1411 5                  373037464742435344404650454841
1411 6                  373743465034434240424141474440
1411 7                  414643426342485347525153444847
1411 8                  434438465049466358515764556050
1411 9                  445353576153565344575166576253
1411 10                 464357486148544752575248504949
1421 11                 263032292430293844404133293131
1422 12                 283033445123384437394042404135
1422 13                 302224322223252327473225383228
1422 14                 323333354342384437373950474838
1422 15                 343721323925295131454245444437
1422 16                 364338414138404447444539404041
1422 17                 394447333946414049404439353741
1422 18                 434530292030274031393739323638
1422 19                 463645504428423834443946454642
1422 20                 464651484749494040424149424646
2412 61                 394737485036435340454646514845
2412 62                 394643372030325734434545444441
2412 63                 445545576360566163525958646155
2412 64                 444949574544494647494750484948
2411 65                 444851484838464647434545484646
2411 66                 474043422434364927423952354441
2411 67                 485051374449455349545245575149
2411 68                 485451485957545747525248515052
2411 69                 484857463932444431433933403643
2411 70                 496357596553585952706068596459
2421 71                 342434443925364052424538444136
2421 72                 403947442225344237363841323637
2421 73                 415455505934505549645655646052
2421 74                 434053636355585737575062425249
2421 75                 444838485548474040494353485046
2421 76                 465036555946494752545150474849
2421 77                 464221314136323634313439404039
2422 78                 465447614557525540585162626253
2422 79                 464757555762585763545855716354
2422 80                 464861575755585549525268556253
1512 21                 365121312133263847313923433337
1512 22                 494561636552606650545756515453
1512 23                 514936473848426150505452515250
1512 24                 535157635470615753645850645756
1512 25                 565452584546506866646663606258
1512 26                 566055655960605558696147434556
1511 27                 575446545846516669566459535656
1511 28                 575770687068697266747182747866
1512 29                 575868606160625958696264666561
1512 30                 585768515258575356655854515256
1522 31                 323740513523375350495149263839
1522 32                 404632333848383547444237604843
1522 33                 425236353041364153494868576248
1522 34                 443648453346435153535265576147
1521 35                 445755354556485547605466515852
1521 36                 515648363030366450555649464849
1521 37                 515161312725365956505552575449
1521 38                 534544232321285739434644434443
1521 39                 535448524352495350655654585654
1521 40                 545965497262625574666568495860
2511 81                 443759294539434729624642494643
2511 82                 494552566343545132544649575349
2511 83                 514661586152585763696364646456
2512 84                 514959475239497056636354605754
2512 85                 515457475465565966656354555456
2512 86                 554558493562515361525560465352
2512 87                 555736635658536161565973466057
2512 88                 555758785950616861626458646160
2511 89                 575457545965595171766666807362
2511 90                 585455655960606150645846514856
2521 91                 283644404136404735534549575340
2522 92                 344021273830292932353237353634
2521 93                 386261687256645953726167636558
2521 94                 505652605458565943535246535053
2521 95                 514836584346465553535460515651
2521 96                 534858655654585358645865606256
2521 97                 564755785843585771716665535957
2521 98                 565465605658605956676166636459
2522 99                 575938585046485347434844555052
2522 100                575742434548445539675454495253
1612 41                 285947575157534955776082778056
1612 42                 474459384349475236414342595046
1612 43                 545551484044463759555042464450
1612 44                 544452454654496355515656565652
1612 45                 637059526862606668716854615864
1612 46                 643743362449384959374847313945
1612 47                 646265756559667362566478757666
1612 48                 666887757281796876646966636469
1612 49                 665247506157546662445762505657
1612 50                 696065617465666368706759505463
1622 51                 267470737454687573707388979267
1622 52                 444054434046464562354738464244
1622 53                 444851485136466670616658595852
1622 54                 504243333523344159515056595847
1622 55                 504252433070494945504845595248
1622 56                 524447483352455540354358384845
1621 57                 544867454644504133393859535649
1621 58                 566054505354535545655556636057
1621 59                 585973634657607050616056465158
1621 60                 586052836573687059666552464960
2611 101                283431414030364150635154535441
2611 102                355535433830366868616656636050
2611 103                415254544965564162475059535651
2611 104                524440546149514162605454354449
2611 105                546954686165627368797365636464
2611 106                566359736570677262777074657065
2611 107                636168786576726065847079617067
2611 108                636570715173667265636778697467
2612 109                646367877076757650616272636866
2612 110                686551473868516865726865636463
2622 111                444043485633454936484442504644
2621 112                444440303039353750374142615243
2622 113                597352484054487073646982717665
2622 114                596064645870645862636154424858
2622 115                606352525870587065686856615861
2622 116                615668453844496076676862505658
2622 117                635683717768755868626372737266
2622 118                646454456146527076657064616262
2621 119                646270687970726070686662676466
2621 120                656454547965637270797471717167
