1   1    3 3 4   Female      1
1   2    2 0 1   Female      2
1   3    2 2 3   Female      3
1   4    3 2 2   Female      4
1   5    1 0 0   Male        5
1   6    3 3 6   Male        6
1   7    4 4 6   Male        7
1   8    6 5 8   Male        8
2   9    4 3 5   Female      1
2   10   4 1 2   Female      2
2   11   3 2 3   Female      3
2   12   3 1 3   Female      4
2   13   2 1 2   Male        5
2   14   3 3 4   Male        6
2   15   4 4 6   Male        7
2   16   5 4 6   Male        8
3   17   4 4 5   Female      1
3   18   4 3 4   Female      2
3   19   3 2 4   Female      3
3   20   3 2 2   Female      4
3   21   4 3 3   Male        5
3   22   6 6 6   Male        6
3   23   5 5 8   Male        7
3   24   5 5 8   Male        8
4   25   5 4 5   Female      1
4   26   5 3 3   Female      2
4   27   6 6 6   Female      3
4   28   6 6 6   Female      4
4   29   7 7 9   Male        5
4   30   8 6 7   Male        6
4   31   5 4 5   Male        7
4   32   8 8 8   Male        8
