980.2      07    0     0      0      0    0
1015       14    1     0      1      0    0
1028       18    1     0      1      1    0
1250       19    0     0      0      0    0
1028       19    0     0      0      1    0
1028       19    0     0      0      0    0
1018       27    0     0      1      0    0
1072       30    0     0      1      0    0
1290       30    1     0      0      0    0
1204       30    0     0      1      0    0
1352       31    1     4      1      1    0
1204       31    0     0      0      0    0
1104       38    0     0      0      0    0
1118       41    0     0      0      0    0
1127       42    1     0      1      0    0
1259       42    1     0      1      0    0
1127       42    0     0      0      0    0
1127       42    1     0      0      0    0
1095       47    0     0      0      0    1
1113       52    0     0      1      0    1
1462       52    1     4      1      1    0
1182       54    0     0      0      0    0
1404       54    0     0      0      0    0
1182       54    0     0      0      0    0
1594       55    0     4      1      1    0
1459       66    0     0      0      0    0
1237       67    0     0      0      0    0
1237       67    1     0      1      0    0
1496       75    1     0      1      0    0
1424       78    0     0      0      0    0
1424       79    1     0      0      0    0
1347       91    0     0      0      0    0
1343       92    0     0      0      0    1
1310       94    1     0      0      0    0
1814      103    1     4      0      1    0
1534      103    0     0      0      0    0
1430      103    0     0      0      0    0
1439      111    1     0      1      0    0
1946      144    0     9      1      1    0
2216      144    1    16      1      1    0
1834      144    0    16      0      1    1
1416      117    1     0      0      0    1
2052      139    0     0      1      0    0
2087      140    1     4      1      1    1
2264      154    0     4      1      1    1
2201      158    0    16      0      1    1
2992      159    1    25      1      1    1
1695      162    1     0      0      0    0
1792      167    1     0      0      0    0
1690      173    0     0      1      0    1
1827      174    0     0      1      0    1
2604      175    0     4      1      1    0
1720      199    0     0      0      0    0
1720      209    0     0      0      0    0
2159      209    1    16      1      0    0
1852      210    1     0      1      0    0
2104      213    1     0      1      0    0
1852      220    0     0      0      0    1
1852      222    0     0      0      0    0
2210      222    0     0      1      0    0
2266      223    1     0      1      0    0
2027      223    1     0      1      0    0
1852      227    0     0      0      0    0
1852      232    0     0      1      0    1
1995      235    1     0      1      0    1
2616      245    0     9      0      1    0
2324      253    1     0      1      0    0
1852      257    0     0      0      0    1
2054      260    0     0      1      0    0
2617      284    1     9      1      1    0
1948      287    1     0      1      0    0
1720      290    0     0      0      0    1
2604      308    0     4      1      0    0
1852      309    0     0      0      0    1
1942      319    1     0      1      0    0
2027      325    0     0      1      0    0
1942      326    0     0      0      0    0
1720      329    0     0      0      0    0
2048      337    1     0      0      0    0
2334      346    0     4      1      1    1
1720      355    0     0      0      0    1
1942      357    0     0      0      0    0
2117      380    0     0      0      0    1
2742      387    1     4      1      1    1
2740      403    0     4      1      1    1
1942      406    0     0      1      0    0
2266      437    0     0      1      0    0
2436      453    0     0      0      0    0
2067      458    0     0      0      0    0
2000      464    0     4      0      1    0
