1  4 5 3 5 3 1 2 3 1 1 24 5 1 3 yes
2  4 5 4 5 2 1 2 2 1 1  5 5 1 3 yes
3  5 5 3 4 2 1 3 2 1 1 10 5 1 3 yes
4  3 5 4 4 3 1 4 2 1 2 20 5 1 3 yes
5  5 4 5 4 4 1 4 2 1 1  . 5 2 3 yes
6  5 5 4 3 5 2 3 3 1 1 30 3 5 3 yes
7  4 5 4 4 4 1 3 3 1 1 17 3 5 3 no
8  3 4 5 4 3 2 3 2 1 1 15 3 5 3 yes
9  4 4 3 5 2 1 3 3 1 1 10 3 5 . .
10 3 5 4 4 3 1 3 1 2 1  . 3 2 . yes
11 3 4 5 4 3 1 3 2 1 1 25 4 2 . no
12 2 5 4 5 4 1 4 2 1 1 20 4 2 . yes
13 4 3 4 4 4 1 2 1 3 2  8 4 2 1 yes
14 5 4 3 3 3 2 2 2 1 1 60 4 2 1 yes
15 3 5 4 3 4 3 3 3 1 1 23 4 3 1 .
16 3 5 5 4 3 1 3 3 2 2 15 5 1 1 yes
17 4 4 4 4 3 1 3 2 1 1  9 5 1 1 yes
18 4 5 4 5 3 1 4 2 1 1 14 5 1 1 yes
19 3 5 4 3 4 1 3 1 1 1 22 5 1 1 yes
20 2 4 4 3 5 . . . . . 35 5 1 1 no
